
# cat /proc/irq_diag_irq_diag_stat

Irq No. - 1, IRQ count - 0, IRQ rate - 0
Irq No. - 2, IRQ count - 0, IRQ rate - 0
Irq No. - 3, IRQ count - 0, IRQ rate - 0
Irq No. - 6, IRQ count - 0, IRQ rate - 0
Irq No. - 7, IRQ count - 0, IRQ rate - 0
Irq No. - 8, IRQ count - 0, IRQ rate - 0
Irq No. - 9, IRQ count - 0, IRQ rate - 0
Irq No. - 10, IRQ count - 0, IRQ rate - 0
Irq No. - 11, IRQ count - 0, IRQ rate - 0
Irq No. - 12, IRQ count - 0, IRQ rate - 0
Irq No. - 13, IRQ count - 0, IRQ rate - 0
Irq No. - 14, IRQ count - 0, IRQ rate - 0
Irq No. - 15, IRQ count - 0, IRQ rate - 0
Irq No. - 16, IRQ count - 0, IRQ rate - 0
Irq No. - 17, IRQ count - 0, IRQ rate - 0
Irq No. - 18, IRQ count - 0, IRQ rate - 0
Irq No. - 19, IRQ count - 0, IRQ rate - 0
Irq No. - 20, IRQ count - 0, IRQ rate - 0
Irq No. - 21, IRQ count - 0, IRQ rate - 0
Irq No. - 22, IRQ count - 0, IRQ rate - 0
Irq No. - 23, IRQ count - 0, IRQ rate - 0
Irq No. - 24, IRQ count - 0, IRQ rate - 0
Irq No. - 25, IRQ count - 0, IRQ rate - 0
Irq No. - 26, IRQ count - 0, IRQ rate - 0
Irq No. - 27, IRQ count - 0, IRQ rate - 0
Irq No. - 28, IRQ count - 0, IRQ rate - 0
Irq No. - 29, IRQ count - 0, IRQ rate - 0
Irq No. - 30, IRQ count - 0, IRQ rate - 0
Irq No. - 31, IRQ count - 0, IRQ rate - 0
Irq No. - 32, IRQ count - 0, IRQ rate - 0
Irq No. - 33, IRQ count - 0, IRQ rate - 0
Irq No. - 34, IRQ count - 0, IRQ rate - 0
Irq No. - 35, IRQ count - 0, IRQ rate - 0
Irq No. - 36, IRQ count - 0, IRQ rate - 0
Irq No. - 37, IRQ count - 0, IRQ rate - 0
Irq No. - 38, IRQ count - 0, IRQ rate - 0
Irq No. - 39, IRQ count - 0, IRQ rate - 0
Irq No. - 40, IRQ count - 0, IRQ rate - 0
Irq No. - 41, IRQ count - 0, IRQ rate - 0
Irq No. - 42, IRQ count - 0, IRQ rate - 0
Irq No. - 43, IRQ count - 0, IRQ rate - 0
Irq No. - 44, IRQ count - 0, IRQ rate - 0
Irq No. - 45, IRQ count - 0, IRQ rate - 0
Irq No. - 46, IRQ count - 0, IRQ rate - 0
Irq No. - 47, IRQ count - 0, IRQ rate - 0
Irq No. - 48, IRQ count - 0, IRQ rate - 0
Irq No. - 49, IRQ count - 0, IRQ rate - 0
Irq No. - 50, IRQ count - 0, IRQ rate - 0
Irq No. - 51, IRQ count - 0, IRQ rate - 0
Irq No. - 52, IRQ count - 0, IRQ rate - 0
Irq No. - 53, IRQ count - 0, IRQ rate - 0
Irq No. - 54, IRQ count - 0, IRQ rate - 0
Irq No. - 55, IRQ count - 0, IRQ rate - 0
Irq No. - 56, IRQ count - 0, IRQ rate - 0
Irq No. - 57, IRQ count - 0, IRQ rate - 0
Irq No. - 58, IRQ count - 0, IRQ rate - 0
Irq No. - 59, IRQ count - 0, IRQ rate - 0
Irq No. - 60, IRQ count - 0, IRQ rate - 0
Irq No. - 61, IRQ count - 0, IRQ rate - 0
Irq No. - 62, IRQ count - 0, IRQ rate - 0
Irq No. - 63, IRQ count - 0, IRQ rate - 0
Irq No. - 64, IRQ count - 0, IRQ rate - 0
Irq No. - 65, IRQ count - 0, IRQ rate - 0
Irq No. - 66, IRQ count - 0, IRQ rate - 0
Irq No. - 67, IRQ count - 0, IRQ rate - 0
Irq No. - 68, IRQ count - 0, IRQ rate - 0
Irq No. - 69, IRQ count - 0, IRQ rate - 0
Irq No. - 70, IRQ count - 0, IRQ rate - 0
Irq No. - 71, IRQ count - 0, IRQ rate - 0
Irq No. - 72, IRQ count - 0, IRQ rate - 0
Irq No. - 73, IRQ count - 0, IRQ rate - 0
Irq No. - 74, IRQ count - 0, IRQ rate - 0
Irq No. - 75, IRQ count - 0, IRQ rate - 0
Irq No. - 76, IRQ count - 0, IRQ rate - 0
Irq No. - 77, IRQ count - 0, IRQ rate - 0
Irq No. - 78, IRQ count - 0, IRQ rate - 0
Irq No. - 79, IRQ count - 0, IRQ rate - 0
Irq No. - 80, IRQ count - 0, IRQ rate - 0
Irq No. - 81, IRQ count - 0, IRQ rate - 0
Irq No. - 82, IRQ count - 0, IRQ rate - 0
Irq No. - 83, IRQ count - 0, IRQ rate - 0
Irq No. - 84, IRQ count - 0, IRQ rate - 0
Irq No. - 85, IRQ count - 0, IRQ rate - 0
Irq No. - 86, IRQ count - 0, IRQ rate - 0
Irq No. - 87, IRQ count - 0, IRQ rate - 0
Irq No. - 88, IRQ count - 0, IRQ rate - 0
Irq No. - 89, IRQ count - 0, IRQ rate - 0
Irq No. - 90, IRQ count - 0, IRQ rate - 0
Irq No. - 91, IRQ count - 0, IRQ rate - 0
Irq No. - 92, IRQ count - 0, IRQ rate - 0
Irq No. - 93, IRQ count - 0, IRQ rate - 0
Irq No. - 94, IRQ count - 0, IRQ rate - 0
Irq No. - 95, IRQ count - 0, IRQ rate - 0
Irq No. - 96, IRQ count - 0, IRQ rate - 0
Irq No. - 97, IRQ count - 0, IRQ rate - 0
Irq No. - 98, IRQ count - 0, IRQ rate - 0
